cluster,gene,prop_mal,prop_norm,mean_mal,mean_norm,p_prop,p_expr,p_combined,fdr_prop,fdr_expr,fdr_combined,sample
2,FGF19,0,0.018027324225258247,0,0.010503326771906442,1,0.8914554329032363,0.9571301000331891,1,1,1,POG590_2
2,CTAG2,0,0.02015994668443852,0,0.013626621044406224,1,0.9043373273298251,0.9622399935950212,1,1,1,POG590_2
2,PTP4A3,0,0.0014995001666111296,0,6.050624495496663e-4,1,0.6380080230549492,0.8529675337751319,1,1,1,POG590_2
2,DCK,0,0.004431856047984005,0,0.002727814283592266,1,0.7283695108051718,0.8911838994098105,1,1,1,POG590_2
2,FOS,0.012048192771084338,0.018560479840053316,0.016943037963498653,0.009547997930956698,0.7889408866656193,0.6644328926713089,0.9400875652453491,1,1,1,POG590_2
2,CTLA4,0,0.09686771076307897,0,0.08203055998595561,1,0.9985497144100137,0.9994287042518837,1,1,1,POG590_2
2,CD33,0.024096385542168676,0.25644785071642784,0.026325208134943316,0.1680004031636815,0.999999999362043,0.9999984843596965,0.9999994023736598,1,1,1,POG590_2
2,ADRA1A,0.012048192771084338,0.41879373542152615,0.017623585552632392,0.31127007716425165,1,0.9999999999992315,0.9999999999996974,1,1,1,POG590_2
0,SLC29A1,0.13975694444444445,0.0175530521351847,0.07804158484864958,0.007395316624586065,1.0342618756918943e-76,2.5258474310156672e-141,0,3.0483507915129516e-76,7.444602954572493e-141,0,POG609
0,CLDN4,0.5598958333333334,0,0.4696547261244536,0,0,0,0,0,0,0,POG609
0,ERBB2,0.640625,0.4163610165051087,0.5624765484040615,0.2901567989119614,2.137069977106963e-49,4.124700415417045e-83,0,5.983795935899496e-49,1.1549161163167725e-82,0,POG609
0,CLDN3,0.6267361111111112,0.0468299711815562,0.5462503970757266,0.027696496292450714,0,0,0,0,0,0,POG609
0,EGFR,0.6449652777777778,0,0.6751110069737156,0,0,0,0,0,0,0,POG609
0,PARP1,0.5190972222222222,0.08789625360230548,0.38671795299686945,0.04041452657192227,2.2847654064289823e-272,0,0,8.5297908506682e-272,0,0,POG609
0,CHEK1,0.078125,0.009365994236311239,0.04859789881381151,0.004655649441478508,6.118412982381932e-44,1.5353020970488895e-81,0,1.6315767953018485e-43,4.0941389254637054e-81,0,POG609
0,CASP8,0.4262152777777778,0.002161383285302594,0.3204196335965631,0.001152909229790756,0,0,0,0,0,0,POG609
0,XIAP,0.9192708333333334,0.005436206444851978,1.247727241167294,0.002366714433724854,0,0,0,0,0,0,POG609
0,FGFR3,0.0078125,6.549646319098769e-5,0.0037650560858950395,1.5004484087094858e-5,3.749274996340513e-10,4.441461144954331e-25,0,8.39837599180275e-10,1.0363409338226774e-24,0,POG609
0,YAP1,0.8671875,0.8280062876604664,1.1554381231554245,1.0038533150419862,2.611223605476859e-4,2.9487783842821645e-19,0,5.415871181729782e-4,6.605263580792049e-19,0,POG609
0,MDM2,0.6475694444444444,1.9648938957296305e-4,0.6801312330568728,8.041837582084642e-5,0,0,0,0,0,0,POG609
0,DLL3,0.06076388888888889,0.012902803248624575,0.0348160865994329,0.006393528622167637,1.0404051098278739e-22,8.542024475141073e-36,0,2.6483039159254973e-22,2.079797263512609e-35,0,POG609
0,BCL6,0.4053819444444444,0,0.31711690045099716,0,0,0,0,0,0,0,POG609
0,HIF1A,0.8333333333333334,0.07931621692428609,0.9437976536702992,0.041361489808685245,0,0,0,0,0,0,POG609
0,JAK1,0.671875,0.10787267487555673,0.6128593417809455,0.057430388860920424,0,0,0,0,0,0,POG609
0,NT5E,0.2361111111111111,0.1537201991092481,0.15834218644718764,0.08669877857290627,1.5769997579688247e-12,1.4171522255377555e-16,0,3.679666101927258e-12,3.0523278703890116e-16,0,POG609
0,JUN,0.5234375,0.020631385905161122,0.46167849640871095,0.009706284439373604,0,0,0,0,0,0,POG609
0,NRG1,0.017361111111111112,6.549646319098769e-5,0.010962667968053612,3.200507346473801e-5,1.4036732279053427e-22,8.461553508700256e-57,0,3.4176391635956174e-22,2.153849984032792e-56,0,POG609
0,FOLR1,0.18055555555555555,0,0.11351787048664215,0,8.014361465548024e-249,0,0,2.8050265129418082e-248,0,0,POG609
0,PTP4A3,0.24739583333333334,0,0.16866542656031377,0,0,0,0,0,0,0,POG609
0,DCK,0.078125,0,0.043787025070111264,0,5.043302494748067e-106,4.329939844256943e-263,0,1.6613231747405397e-105,1.4263331251669928e-262,0,POG609
0,FOS,0.1831597222222222,0.023120251506418655,0.12281292067948786,0.01087276879763785,2.7975472369213005e-101,9.440016128674446e-187,0,8.703480292644046e-101,2.936893906698717e-186,0,POG609
0,KAT6B,0.6996527777777778,0,0.7067780087200872,0,0,0,0,0,0,0,POG609
0,RAF1,0.5642361111111112,0.01840450615666754,0.454133644216619,0.011726527682169752,0,0,0,0,0,0,POG609
0,KDM4B,0.5182291666666666,0.004322766570605188,0.39992863780400806,0.0018637331442623282,0,0,0,0,0,0,POG609
0,MET,0.006076388888888889,1.9648938957296305e-4,0.006218644006492699,6.429009484075608e-5,8.173020341858975e-7,3.0535073502363316e-15,2.19824158875781e-14,1.760342842861933e-6,6.333200430119798e-15,4.559315887793976e-14,POG609
0,CDK6,0.017361111111111112,0.01133088813204087,0.012165630411288464,0.005273217772291614,0.051508269774880246,0.03144029651037819,0.008357430966696278,0.10301653954976049,0.06288059302075638,0.016714861933392555,POG609
0,PRAME,0.001736111111111111,5.894681687188892e-4,0.0013909092954019595,3.7112633200195696e-4,0.1778283451802848,0.07340633509494826,0.051925109065193986,0.34339266655503276,0.1417501643212794,0.10026917612589184,POG609
0,PDCD1LG2,0.003472222222222222,0.20225307833377,0.0017488212991911205,0.1009728023595895,1,1,1,1,1,1,POG609
0,PDCD1,0,2.6198585276395077e-4,0,9.153479670312533e-5,1,0.7086824364592693,0.882991073643653,1,1,1,POG609
0,CD274,0.028645833333333332,0.5194524495677233,0.01677472450650097,0.6505455304271429,1,1,1,1,1,1,POG609
0,CDK4,0.1388888888888889,0.35387739062090645,0.08453948462996924,0.21190655870547465,1,1,1,1,1,1,POG609
0,FLT1,0.018229166666666668,0.02547812418129421,0.013662972281763629,0.01799601691001906,0.9525308552050606,0.9363447701836518,0.9313265269358726,1,1,1,POG609
0,RET,0.3862847222222222,0.7687974849358135,0.29912319444355245,0.8334461830397148,1,1,1,1,1,1,POG609
0,CXCL1,0.010416666666666666,0.018862981399004455,0.006877297739022379,0.009231242223924274,0.9901351014241984,0.9795766395816093,0.982887774009441,1,1,1,POG609
0,ESR1,0.0720486111111111,0.1324338485721771,0.04649163370848356,0.06295452186261519,0.9999999999138727,0.9999999801704855,0.9999999921096081,1,1,1,POG609
0,FLT3,0.003472222222222222,0.14906995022268799,0.002098575738731994,0.08047549338013907,1,1,1,1,1,1,POG609
0,TNFRSF8,0.006944444444444444,0.009431490699502228,0.00443285723680328,0.004284747600147258,0.8445783016748858,0.798944469982048,0.936353913955406,1,1,1,POG609
0,MAGEA4,0,0.04624050301283731,0,0.026249517931681923,1,0.9999999999999561,0.9999999999999827,1,1,1,POG609
0,CNR1,8.680555555555555e-4,0.059274299187843854,3.560057568865826e-4,0.036810433724121,1,1,1,1,1,1,POG609
0,LAG3,0.001736111111111111,0.3167408959916165,6.944720222700005e-4,0.17915679686197972,1,1,1,1,1,1,POG609
0,EZHIP,0,0,0,0,1,1,1,1,1,1,POG609
0,PDGFRA,8.680555555555555e-4,0.010348441184176055,4.034068525383793e-4,0.004944035711007988,0.9999910505797944,0.9992323989140316,0.999689401264725,1,1,1,POG609
0,S100P,0.6779513888888888,0.766308619334556,0.7185353426681622,0.9145486397682576,0.9999999999799116,1,0.9999999999815359,1,1,1,POG609
0,AR,0.06076388888888889,0.07322504584752423,0.047390768829985455,0.060127230066054554,0.9515224586989024,0.9419129674511187,0.9325931898339541,1,1,1,POG609
0,MKI67,0.026909722222222224,0.2276002095886822,0.017445063328137608,0.172320908391107,1,1,1,1,1,1,POG609
0,PTGS2,0.06163194444444445,0.3186402934241551,0.04526067793929163,0.19693041964921357,1,1,1,1,1,1,POG609
0,MYC,0.008680555555555556,0.020631385905161122,0.006220101871814323,0.010146707264143793,0.9993969566515277,0.9973279090773599,0.998393126587245,1,1,1,POG609
0,CTAG1B,0,0.17585800366780194,0,0.09220775892457765,1,1,1,1,1,1,POG609
0,PDGFRB,0,0.7702384071260152,0,0.8184661183038454,1,1,1,1,1,1,POG609
0,FGF19,0,0.0038642913282682734,0,0.002191672612336809,1,0.9827278251977171,0.9931957080115663,1,1,1,POG609
0,CTAG2,0,0.0011789363374377785,0,6.253730154717848e-4,1,0.8782029105338973,0.9518631476943593,1,1,1,POG609
0,CTLA4,8.680555555555555e-4,0.1724521875818706,3.296164070394348e-4,0.12779126005428953,1,1,1,1,1,1,POG609
0,CD33,0.001736111111111111,0.4542834686926906,8.555389118977453e-4,0.29721931945864527,1,1,1,1,1,1,POG609
0,ADRA1A,0.006076388888888889,0.42061828661252293,0.004386975699787511,0.2706654474383365,1,1,1,1,1,1,POG609
1,SLC29A1,0.06238003838771593,0.0175530521351847,0.045465409776901666,0.007395316624586065,3.225359302369041e-16,3.6607692326769375e-24,0,9.031006046633314e-16,9.318321683177659e-24,0,POG609
1,CLDN4,0.1765834932821497,0,0.1545829832303454,0,1.5015187517015941e-227,0,0,8.408505009528926e-227,0,0,POG609
1,ERBB2,0.4875239923224568,0.4163610165051087,0.4833773422071829,0.2901567989119614,4.347858220600479e-6,4.894094032686387e-25,0,1.0586089580592473e-5,1.3050917420497032e-24,0,POG609
1,CLDN3,0.1401151631477927,0.0468299711815562,0.11102794576938402,0.027696496292450714,1.104377955069169e-28,2.616767959099072e-41,0,3.637950910816086e-28,7.712579247870948e-41,0,POG609
1,EGFR,0.5403071017274472,0,0.6432592495231417,0,0,0,0,0,0,0,POG609
1,MET,0.007677543186180422,1.9648938957296305e-4,0.00533627552576531,6.429009484075608e-5,3.752205314805287e-8,1.1207868284224748e-19,0,9.551068074049822e-8,2.7288722778982e-19,0,POG609
1,PARP1,0.2658349328214971,0.08789625360230548,0.23166112507347433,0.04041452657192227,1.2082389191737477e-57,1.5183718359674667e-92,0,4.832955676694991e-57,5.668588187611876e-92,0,POG609
1,CHEK1,0.04894433781190019,0.009365994236311239,0.04210051457264615,0.004655649441478508,1.2003655968890641e-18,8.008899390267937e-31,0,3.53791965398882e-18,2.2424918292750224e-30,0,POG609
1,CASP8,0.31285988483685223,0.002161383285302594,0.29154326530288693,0.001152909229790756,0,0,0,0,0,0,POG609
1,XIAP,0.7859884836852208,0.005436206444851978,1.0872527552014801,0.002366714433724854,0,0,0,0,0,0,POG609
1,YAP1,0.8358925143953935,0.8280062876604664,1.268679429120974,1.0038533150419862,0.272313698640394,1.2274858813847317e-44,0,0.6056091106008968,3.818844964308054e-44,0,POG609
1,MDM2,0.5124760076775432,1.9648938957296305e-4,0.5691582884356601,8.041837582084642e-5,0,0,0,0,0,0,POG609
1,BCL6,0.34644913627639157,0,0.3414917325520232,0,0,0,0,0,0,0,POG609
1,HIF1A,0.6986564299424184,0.07931621692428609,0.8304595234106589,0.041361489808685245,0,0,0,0,0,0,POG609
1,JAK1,0.48080614203454897,0.10787267487555673,0.4935220096646835,0.057430388860920424,1.5421979485989446e-180,0,0,7.851189556503718e-180,0,0,POG609
1,JUN,0.19961612284069097,0.020631385905161122,0.18515165408720738,0.009706284439373604,2.278485028323547e-114,4.686662823390019e-229,0,9.815012429701433e-114,2.0188701393064696e-228,0,POG609
1,NRG1,0.026871401151631478,6.549646319098769e-5,0.02887365578855363,3.200507346473801e-5,6.889235264757561e-33,3.5196698270688525e-88,0,2.4112323426651462e-32,1.2318844394740985e-87,0,POG609
1,FOLR1,0.022072936660268713,0,0.015765791014442046,0,2.6609781597759105e-28,1.138757016277244e-75,0,8.278598719302832e-28,3.7511995830309214e-75,0,POG609
1,PTP4A3,0.1324376199616123,0,0.10520812169335145,0,1.8788032131535536e-169,0,0,8.767748328049917e-169,0,0,POG609
1,DCK,0.03934740882917467,0,0.02996598342147005,0,4.983488766859694e-50,2.739718371168468e-133,0,1.8605024729609525e-49,1.0958873484673872e-132,0,POG609
1,FOS,0.061420345489443376,0.023120251506418655,0.05694469243662409,0.01087276879763785,4.73049578812145e-11,3.564252667361797e-15,0,1.2614655434990532e-10,8.316589557177528e-15,0,POG609
1,KAT6B,0.6161228406909789,0,0.7221510143423358,0,0,0,0,0,0,0,POG609
1,RAF1,0.5307101727447217,0.01840450615666754,0.5435104595297612,0.011726527682169752,0,0,0,0,0,0,POG609
1,KDM4B,0.463531669865643,0.004322766570605188,0.4651724067797739,0.0018637331442623282,0,0,0,0,0,0,POG609
1,FGFR3,0.003838771593090211,6.549646319098769e-5,0.002839828440721393,1.5004484087094858e-5,7.862874245507216e-5,8.376913387894039e-12,2.606861393417148e-10,1.8346706572850173e-4,1.8764285988882648e-11,5.839369521254412e-10,POG609
1,PDCD1,9.596928982725527e-4,2.6198585276395077e-4,5.810506475398035e-4,9.153479670312533e-5,0.28117565849327353,0.1065583358776457,0.1038910086310032,0.6056091106008968,0.2295102618903138,0.22376524935908382,POG609
1,CDK6,0.012476007677543186,0.01133088813204087,0.009251371662626741,0.005273217772291614,0.41004346305067835,0.35745012651751096,0.262839219729609,0.8504605159569625,0.7413780401844672,0.5451480112910408,POG609
1,DLL3,0.013435700575815739,0.012902803248624575,0.010399382255202358,0.006393528622167637,0.48161790581221553,0.4286365377366501,0.33775896164931396,0.9632358116244311,0.8572730754733002,0.6755179232986279,POG609
1,PDCD1LG2,0.0028790786948176585,0.20225307833377,0.0027736955175927235,0.1009728023595895,1,1,1,1,1,1,POG609
1,CD274,0.015355086372360844,0.5194524495677233,0.012704537596410206,0.6505455304271429,1,1,1,1,1,1,POG609
1,CDK4,0.04798464491362764,0.35387739062090645,0.03788900169581295,0.21190655870547465,1,1,1,1,1,1,POG609
