expression_type	gene	relevance	subject	disease_names	variant	X.rid	evidence	evidenceLevel	source.name	sourceId	createdBy	reviewStatus
increased	CCND1	unfavourable prognosis	patient	head and neck squamous cell carcinoma	overexpression	#155:9769	pmid:16309541	CIViC B4	civic	357	#29:0	not required
increased	CCNE1	unfavourable prognosis	patient	gastric adenosquamous carcinoma	overexpression	#155:9770	pmid:10224221	CIViC B4	civic	364	#29:0	not required
increased	RET	sensitivity	Vandetanib [c2737]	breast cancer	overexpression	#155:9804	pmid:26686064	CIViC D2	civic	740	#29:0	not required
increased	EGFR	unfavourable prognosis	patient	esophagus squamous cell carcinoma	overexpression	#155:9808	pmid:26459251	CIViC B3	civic	784	#29:0	not required
increased	PTP4A3	sensitivity	Cetuximab [c1723]	colorectal cancer	overexpression	#155:9822	pmid:23867504	CIViC D3	civic	902	#29:0	not required
increased	TYMS	resistance	Pemetrexed [c61614]	lung non-small cell carcinoma	overexpression	#155:9824	pmid:23060591	CIViC B3	civic	922	#29:0	not required
increased	TIMP1	resistance	Paclitaxel [c1411]	breast cancer	overexpression	#155:9825	pmid:22544540	CIViC B2	civic	927	#29:0	not required
increased	ABCC10	resistance	Paclitaxel [c1411]	lung non-small cell carcinoma	overexpression	#155:9829	pmid:18445659	CIViC D3	civic	952	#29:0	not required
reduced	STAG2	favourable prognosis	patient	bladder carcinoma	underexpression	#155:9833	pmid:26838030	CIViC B2	civic	984	#29:0	not required
reduced	KRT18	unfavourable prognosis	patient	prostate cancer	underexpression	#155:9842	pmid:26892177	CIViC D2	civic	1061	#29:0	not required
increased	B4GALT1	unfavourable prognosis	patient	renal cell carcinoma	overexpression	#155:9867	pmid:27092876	CIViC B3	civic	1278	#29:0	not required
reduced	ATM	unfavourable prognosis	patient	chronic lymphocytic leukemia	underexpression	#155:9902	pmid:9788599	CIViC B3	civic	1564	#29:0	not required
increased	ETV4	unfavourable prognosis	patient	prostate cancer	overexpression	#155:9917	pmid:25544710	CIViC B3	civic	1658	#29:0	not required
reduced	VPS37A	resistance	Cetuximab [c1723]	ovarian cancer	underexpression	#155:9952	pmid:22016507	CIViC D3	civic	1981	#29:0	not required
reduced	ARID1A	unfavourable prognosis	patient	stomach cancer	underexpression	#155:10057	pmid:22808142	CIViC D4	civic	5675	#29:0	not required
increased	IL6	resistance	Bazedoxifene [c73598]	rhabdomyosarcoma	overexpression	#155:10123	pmid:28672024	CIViC D2	civic	7956	#29:0	not required
increased	PLK1	unfavourable prognosis	patient	glioblastoma multiforme	overexpression	#155:10138	pmid:32180229	CIViC B2	civic	8005	#29:0	not required
increased	FOXC2	resistance	Oxaliplatin [c1181]	colorectal cancer	overexpression	#155:10142	pmid:32110058	CIViC D4	civic	8084	#29:0	not required
increased	MIR21	resistance	Cisplatin [c376]	lung non-small cell carcinoma	overexpression	#155:10143	pmid:22237007	CIViC D3	civic	8110	#29:0	not required
increased	AURKA	resistance	Paclitaxel [c1411]	cervical adenocarcinoma	overexpression	#155:10153	pmid:12559175	CIViC D3	civic	457	#29:0	not required
increased	CD274	sensitivity	atezolizumab [DB11595]	triple-receptor negative breast cancer	increased protein expression	#155:10446	NA	IPR-A	Null	NA	#30:0	passed
reduced	ERCC1	sensitivity	cisplatin [DB00515]	epithelial ovarian cancer	reduced protein expression	#155:10453	pmid:30797591	CIViC D	Null	NA	#32:7	initial
increased	HIF1A	unfavourable prognosis	patient	colorectal cancer	overexpression	#155:10488	pmid:20363910	CIViC B3	civic	1032	#29:0	not required
increased	PTTG1	unfavourable prognosis	patient	meningioma	overexpression	#155:10489	pmid:26894859	CIViC B2	civic	1053	#29:0	not required
increased	BCL2L1	resistance	gemcitabine [DB00441]	ovarian carcinoma	increased protein expression	#155:10534	pmid:15661210	CIViC D	Null	NA	#32:7	initial
increased	ERBB2	sensitivity	neratinib [DB11828]	breast cancer	increased protein expression	#155:10536	NA	IPR-A	Null	NA	#30:0	NA
increased	BCL2L1	resistance	paclitaxel [DB01229]	ovarian carcinoma	increased protein expression	#155:10542	pmid:11857368	CIViC D	Null	NA	#32:7	initial
reduced	SMARCA4	sensitivity	cisplatin + vinorelbine	lung non-small cell carcinoma	underexpression	#155:10549	pmid:26671993	CIViC B3	civic	837	#29:0	not required
increased	CDK6	sensitivity	fulvestrant + palbociclib	estrogen-receptor positive breast cancer	overexpression	#155:10568	pmid:27252418	CIViC D2	civic	1527	#29:0	not required
increased	DCK	sensitivity	gemcitabine [DB00441]	pancreatic adenocarcinoma	increased protein expression	#155:10605	pmid:22705007	CIViC B	Null	NA	#32:7	initial
increased	RRM1	resistance	gemcitabine [DB00441]	pancreatic cancer	increased protein expression	#155:10606	pmid:25837929	CIViC D	Null	NA	#32:7	initial
increased	IGF2	sensitivity	Docetaxel [c1526]	prostate cancer	overexpression	#155:10670	pmid:25670080	CIViC D3	civic	414	#29:0	not required
increased	EGFR	sensitivity	epidermal growth factor receptor tyrosine kinase inhibitor [c2167]	lung non-small cell carcinoma	overexpression	#155:10676	pmid:22056021	CIViC B4	civic	693	#29:0	not required
reduced	VEGFA	sensitivity	bevacizumab + fluorouracil + irinotecan + levoleucovorin	colorectal cancer	underexpression	#155:10685	pmid:25973082	CIViC B2	civic	818	#29:0	not required
reduced	CIP2A	sensitivity	gemcitabine [c66876]	pancreatic ductal adenocarcinoma	underexpression	#155:10704	pmid:26894380	CIViC D3	civic	1118	#29:0	not required
increased	HAVCR2	sensitivity	anti-tim-3 monoclonal antibody + pd1 inhibitor	lung non-small cell carcinoma	overexpression	#155:10707	pmid:26883990	CIViC D3	civic	1151	#29:0	not required
increased	RB1	resistance	Mitomycin [c1820]	pancreatic adenocarcinoma	overexpression	#155:10717	pmid:11792751	CIViC D2	civic	1324	#29:0	not required
increased	FOS	sensitivity	irbesartan [c29130]	colon adenocarcinoma	overexpression	#155:10731	pmid:27022066	CIViC C2	civic	1634	#29:0	not required
reduced	SMARCB1	sensitivity	Tazemetostat [c107506]	synovial sarcoma	underexpression	#155:10733	pmid:27391784	CIViC D2	civic	1739	#29:0	not required
reduced	MTAP	sensitivity	pyrimidine antagonist [c1557]	breast cancer	underexpression	#155:10741	pmid:26751376	CIViC D1	civic	1980	#29:0	not required
increased	ERBB2	sensitivity	lapatinib [c26653]	head and neck squamous cell carcinoma	overexpression	#155:10743	pmid:28061634	CIViC C2	civic	1992	#29:0	not required
increased	ERBB2	sensitivity	Trastuzumab Emtansine [c82492]	her2-receptor positive breast cancer	overexpression	#155:10764	pmid:28526536	CIViC B4	civic	4840	#29:0	not required
reduced	RRM1	sensitivity	gemcitabine [c66876]	pancreatic cancer	underexpression	#155:10766	pmid:17131328	CIViC B3	civic	5508	#29:0	not required
reduced	RRM1	sensitivity	Vinorelbine [c1275]	lung non-small cell carcinoma	underexpression	#155:10767	pmid:23038758	CIViC B3	civic	5599	#29:0	not required
increased	ERBB2	sensitivity	paclitaxel + trastuzumab	salivary gland cancer	overexpression	#155:10774	pmid:23826550	CIViC C2	civic	6170	#29:0	not required
increased	CD274	eligibility	EA5163/S1709 INSIGNA : A Randomized, Phase III Study of Firstline Immunotherapy Alone or in Combination With Chemotherapy in Induction/Maintenance or Postprogression in Advanced Nonsquamous Non-Small Cell Lung Cancer (NSCLC) With Immunobiomarker SIGNature-Driven Analysis	non-small cell lung cancer	increased protein expression	#155:11002	NA	IPR-C	Null	NA	#30:0	passed
increased	KAT6B	sensitivity	anthracyclines [c1594]	breast cancer	increased RNA expression	#155:11031	pmid:31700186	IPR-D	Null	NA	#30:14	NA
increased	EGFR	eligibility	A Biomarker-Directed, Open Label, Multi-Centre Phase II Study of Molecular Response Adaptive Immuno-Chemotherapy in Patients With Non-Small Cell Lung Cancer	non-small cell lung cancer	wildtype	#155:11746	NA	IPR-C	Null	NA	#30:0	passed
increased	CD274	eligibility	EA5163/S1709 INSIGNA : A Randomized, Phase III Study of Firstline Immunotherapy Alone or in Combination With Chemotherapy in Induction/Maintenance or Postprogression in Advanced Nonsquamous Non-Small Cell Lung Cancer (NSCLC) With Immunobiomarker SIGNature-Driven Analysis	non-small cell lung cancer	increased protein expression	#155:11747	NA	IPR-C	Null	NA	#30:0	passed
